osm_id,name,operator,geojson
4567902792,龙翔桥,,"{""type"":""Point"",""coordinates"":[120.160561683132,30.2564182928738]}"
5034020869,市一医院,,"{""type"":""Point"",""coordinates"":[120.162885265446,30.2583094101075]}"
5034020867,庆春路浣纱路口,,"{""type"":""Point"",""coordinates"":[120.162196347455,30.2604328775125]}"
4966513049,平海路岳王路口,,"{""type"":""Point"",""coordinates"":[120.163999356061,30.2564612026748]}"
4966513048,平海路岳王路口,,"{""type"":""Point"",""coordinates"":[120.164680279047,30.2565969154663]}"
5034020861,岳王路,,"{""type"":""Point"",""coordinates"":[120.164513372067,30.2568653919056]}"
5034020868,市一医院,,"{""type"":""Point"",""coordinates"":[120.163091967793,30.2583125138315]}"
4966513050,平海路,,"{""type"":""Point"",""coordinates"":[120.166038980914,30.2566502228408]}"
5126106720,联桥,,"{""type"":""Point"",""coordinates"":[120.166800392949,30.2590560856682]}"
5034020866,庆春路浣纱路口,,"{""type"":""Point"",""coordinates"":[120.163139219177,30.2606427620849]}"
5054176548,,,"{""type"":""Point"",""coordinates"":[120.166127015812,30.2605629982411]}"
5034020864,孩儿巷,,"{""type"":""Point"",""coordinates"":[120.158893691312,30.2642428527921]}"
5034020865,孩儿巷,,"{""type"":""Point"",""coordinates"":[120.159182409845,30.264772081922]}"
5126106719,联桥,,"{""type"":""Point"",""coordinates"":[120.167025061601,30.2629492126826]}"
